id,analysis_scope,user_id,intent,tag_technique,question,sql_query,rationale
1,global,,Analyse des causes d’un faible score,causal_analysis,Pourquoi la compétence « Organiser ses textes » présente-t-elle des performances faibles au niveau global ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes';,"La performance globale faible sur cette compétence s’explique par une combinaison de facteurs comportementaux et organisationnels. Les indicateurs montrent un effort souvent concentré juste avant les échéances, une faible régularité du travail et un usage partiel des ressources pédagogiques (FCR faible). De plus, le temps de démarrage tardif des activités et une absence de révision de contenu traduisent une stratégie d’apprentissage peu structurée, conduisant à des lacunes persistantes malgré une activité apparente sur la plateforme."
2,individual,1252,Analyse des causes d’un faible score,causal_analysis,Pourquoi l’étudiant avec l’ID 1252 rencontre-t-il des difficultés dans la compétence « Utiliser des reprises » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises' AND ar.user_id = 1252;,"L’étudiant 1252 présente un profil actif mais inefficace : malgré une fréquence de connexion élevée et plusieurs tentatives, les scores stagnent. Les indicateurs révèlent un taux d’erreur élevé (TEC) et une répétition d’activités superficielles sans réelle révision du contenu. Le temps moyen passé par activité reste court, suggérant une compréhension partielle et une difficulté à transférer les connaissances acquises."
3,group,,Analyse des causes d’un faible score,causal_analysis,Pourquoi un groupe d’apprenants montre-t-il une progression lente en « Choisir ses mots et ses expressions » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Choisir ses mots et ses expressions';,"La progression lente observée dans ce groupe est liée à un engagement irrégulier et à une faible consultation des micro-ressources. Les apprenants démarrent souvent tardivement les activités et concentrent l’effort avant les échéances. Cette stratégie limite l’entraînement progressif, entraînant des tentatives répétées sans amélioration significative des scores."
4,global,,Analyse des causes d’une baisse de performance,causal_analysis,Pourquoi observe-t-on une baisse de performance en « Construire ses phrases » ce trimestre ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id JOIN dim_time t ON ar.time_id = t.id WHERE c.name = 'Construire ses phrases' AND t.quarter = 'Q2';,"La baisse de performance s’explique par une diminution de l’engagement continu. Les indicateurs montrent une augmentation de la durée moyenne d’absence de progrès (DMAP) et une réduction de la complétion des activités non notées. Les apprenants adoptent un comportement passif mais stratégique, ciblant uniquement les évaluations finales sans consolidation intermédiaire."
5,individual,1304,Analyse des causes d’un échec,causal_analysis,Pourquoi l’étudiant 1304 échoue-t-il fréquemment dans « Maîtriser l’orthographe grammaticale » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Maîtriser l’orthographe grammaticale' AND ar.user_id = 1304;,"L’étudiant présente un taux d’échec compétence élevé, associé à un nombre important d’échecs consécutifs. Les indicateurs comportementaux montrent un faible temps total sur la plateforme et une consultation limitée des ressources explicatives. Cette combinaison suggère un manque d’entraînement et une posture d’apprentissage peu persévérante après les premiers échecs."
6,group,,Analyse des causes de stagnation,causal_analysis,Pourquoi certains apprenants stagnent-ils en « Articuler les termes entre eux » malgré une forte activité ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Articuler les termes entre eux';,"Cette stagnation correspond à un profil actif mais inefficace. Les apprenants réalisent de nombreuses tentatives et maintiennent une présence en ligne élevée, mais sans amélioration notable des scores. L’analyse montre une faible révision des contenus et une absence d’ajustement stratégique après les erreurs, ce qui limite l’apprentissage en profondeur."
7,global,,Analyse des causes d’une progression lente,causal_analysis,Pourquoi la compétence « Utiliser des reprises » progresse-t-elle lentement à l’échelle globale ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Utiliser des reprises';,"La progression lente est liée à la complexité cognitive de la compétence et à un entraînement insuffisant. Les indicateurs montrent un faible nombre de défis complexes relevés et une utilisation partielle des ressources pédagogiques. Les apprenants privilégient la complétion rapide au détriment de la qualité, ce qui ralentit la consolidation des acquis."
8,individual,1410,Analyse des causes d’une baisse individuelle,causal_analysis,Pourquoi l’étudiant 1410 montre-t-il une baisse récente en « Comprendre les mots » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id JOIN dim_time t ON ar.time_id = t.id WHERE c.name = 'Comprendre les mots' AND ar.user_id = 1410;,"La baisse individuelle est associée à une diminution de l’engagement cognitif. Les indicateurs révèlent une baisse de la consultation des ressources et une augmentation du temps de réponse excessif, signe d’hésitation. Cela suggère des difficultés de compréhension non compensées par un entraînement adapté."
9,group,,Analyse des causes d’échec collectif,causal_analysis,Pourquoi un groupe d’apprenants échoue-t-il en « Organiser ses textes » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Organiser ses textes';,L’échec collectif est principalement lié à une organisation déficiente du travail. Les indicateurs montrent un taux élevé d’activités en retard et un effort concentré juste avant les échéances. Ce mode de travail limite la planification et la structuration progressive des compétences rédactionnelles.
10,global,,Analyse des causes d’un écart de performance,causal_analysis,Pourquoi observe-t-on un écart important de performance en « Jouer avec les effets de style » ?,SELECT AVG(ar.Level) AS avg_score FROM fact_evaluation_results ar JOIN dim_competence c ON ar.competence_id = c.id WHERE c.name = 'Jouer avec les effets de style';,"L’écart de performance s’explique par des différences marquées de préparation et de posture d’apprentissage. Les apprenants persévérants et bien entraînés progressent rapidement, tandis que ceux ayant une faible interaction avec les ressources et peu de révisions stagnent, accentuant la dispersion des scores."
